colorcode,r,g,b,rn,gn,bn
0,109,57,142,0.42745098,0.223529412,0.556862745
1,161,199,70,0.631372549,0.780392157,0.274509804
2,9,181,172,0.035294118,0.709803922,0.674509804
3,248,154,28,0.97254902,0.603921569,0.109803922
4,183,61,160,0.717647059,0.239215686,0.62745098
5,16,114,86,0.062745098,0.447058824,0.337254902
6,58,175,75,0.22745098,0.68627451,0.294117647
7,237,114,162,0.929411765,0.447058824,0.635294118
8,0,163,228,0,0.639215686,0.894117647
9,181,44,67,0.709803922,0.17254902,0.262745098
